2018-10-21 15:09:21.362 [main] WARN  org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'enableRedisKeyspaceNotificationsInitializer' defined in class path resource [org/springframework/boot/autoconfigure/session/RedisSessionConfiguration$SpringBootRedisHttpSessionConfiguration.class]: Invocation of init method failed; nested exception is org.springframework.data.redis.RedisConnectionFailureException: Unable to connect to Redis; nested exception is io.lettuce.core.RedisConnectionException: Unable to connect to localhost:6379
2018-10-21 15:10:50.165 [main] WARN  org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'enableRedisKeyspaceNotificationsInitializer' defined in class path resource [org/springframework/boot/autoconfigure/session/RedisSessionConfiguration$SpringBootRedisHttpSessionConfiguration.class]: Invocation of init method failed; nested exception is org.springframework.data.redis.RedisConnectionFailureException: Unable to connect to Redis; nested exception is io.lettuce.core.RedisConnectionException: Unable to connect to localhost:6379
2018-10-21 15:15:13.052 [main] WARN  org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'enableRedisKeyspaceNotificationsInitializer' defined in class path resource [org/springframework/boot/autoconfigure/session/RedisSessionConfiguration$SpringBootRedisHttpSessionConfiguration.class]: Invocation of init method failed; nested exception is org.springframework.data.redis.RedisConnectionFailureException: Unable to connect to Redis; nested exception is io.lettuce.core.RedisConnectionException: Unable to connect to localhost:6379
2018-10-21 16:21:47.854 [main] WARN  org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'shiroConfig': Unsatisfied dependency expressed through field 'resourcesService'; nested exception is org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'resourcesServiceImpl': Unsatisfied dependency expressed through field 'baseMapper'; nested exception is org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'resourcesMapper' defined in file [D:\spring\tradingplatform\tradingplatform\tradingplatform-admin\tradingplatform-admin-mapper\target\classes\com\secondhand\tradingplatformadminmapper\mapper\shiro\ResourcesMapper.class]: Unsatisfied dependency expressed through bean property 'sqlSessionFactory'; nested exception is org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'sqlSessionFactory' defined in class path resource [com/baomidou/mybatisplus/spring/boot/starter/MybatisPlusAutoConfiguration.class]: Initialization of bean failed; nested exception is org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'authorizationAttributeSourceAdvisor' defined in class path resource [com/secondhand/tradingplatformadmincontroller/config/ShiroConfig.class]: Unsatisfied dependency expressed through method 'authorizationAttributeSourceAdvisor' parameter 0; nested exception is org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'securityManager' defined in class path resource [com/secondhand/tradingplatformadmincontroller/config/ShiroConfig.class]: Bean instantiation via factory method failed; nested exception is org.springframework.beans.BeanInstantiationException: Failed to instantiate [org.apache.shiro.mgt.SecurityManager]: Circular reference involving containing bean 'shiroConfig' - consider declaring the factory method as static for independence from its containing instance. Factory method 'securityManager' threw exception; nested exception is org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'myShiroRealm': Injection of resource dependencies failed; nested exception is org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'userServiceImpl': Unsatisfied dependency expressed through field 'baseMapper'; nested exception is org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'userMapper' defined in file [D:\spring\tradingplatform\tradingplatform\tradingplatform-admin\tradingplatform-admin-mapper\target\classes\com\secondhand\tradingplatformadminmapper\mapper\shiro\UserMapper.class]: Invocation of init method failed; nested exception is java.lang.NoSuchFieldError: INSTANCE
2018-10-21 16:24:23.061 [main] WARN  org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'resourcesController': Unsatisfied dependency expressed through field 'resourcesService'; nested exception is org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'resourcesServiceImpl': Unsatisfied dependency expressed through field 'baseMapper'; nested exception is org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'resourcesMapper' defined in file [D:\spring\tradingplatform\tradingplatform\tradingplatform-admin\tradingplatform-admin-mapper\target\classes\com\secondhand\tradingplatformadminmapper\mapper\shiro\ResourcesMapper.class]: Invocation of init method failed; nested exception is java.lang.NoSuchFieldError: INSTANCE
2018-10-21 16:44:18.555 [main] WARN  org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'resourcesController': Unsatisfied dependency expressed through field 'resourcesService'; nested exception is org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'resourcesServiceImpl': Unsatisfied dependency expressed through field 'baseMapper'; nested exception is org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'resourcesMapper' defined in file [D:\spring\tradingplatform\tradingplatform\tradingplatform-admin\tradingplatform-admin-mapper\target\classes\com\secondhand\tradingplatformadminmapper\mapper\shiro\ResourcesMapper.class]: Invocation of init method failed; nested exception is java.lang.NoSuchFieldError: INSTANCE
2018-10-21 22:09:39.313 [http-nio-8080-exec-3] WARN  org.springframework.web.servlet.PageNotFound - No mapping found for HTTP request with URI [/login;JSESSIONID=f9048cd6-75a1-48d5-b53e-9cfd1ca11923] in DispatcherServlet with name 'dispatcherServlet'
2018-10-21 22:11:10.101 [http-nio-8080-exec-6] WARN  org.springframework.web.servlet.PageNotFound - No mapping found for HTTP request with URI [/login;JSESSIONID=3245aab0-cb49-4304-8617-d911d6207ea2] in DispatcherServlet with name 'dispatcherServlet'
2018-10-21 22:11:10.346 [http-nio-8080-exec-7] WARN  org.springframework.web.servlet.PageNotFound - No mapping found for HTTP request with URI [/login] in DispatcherServlet with name 'dispatcherServlet'
2018-10-21 22:11:27.306 [http-nio-8080-exec-2] WARN  org.springframework.web.servlet.PageNotFound - No mapping found for HTTP request with URI [/login] in DispatcherServlet with name 'dispatcherServlet'
2018-10-21 22:11:56.163 [http-nio-8080-exec-3] WARN  org.springframework.web.servlet.PageNotFound - No mapping found for HTTP request with URI [/login] in DispatcherServlet with name 'dispatcherServlet'
