2019-03-22 10:28:41.783 [main] INFO  com.secondhand.tradingplatformgeccoengine.downloader.proxy.FileProxys - proxys not load
2019-03-22 10:28:42.064 [main] INFO  org.reflections.Reflections - Reflections took 219 ms to scan 3 urls, producing 60 keys and 207 values 
2019-03-22 10:28:43.009 [main] INFO  com.secondhand.tradingplatformgeccoengine.GeccoEngine - starts.json not found
2019-03-22 10:28:43.481 [main] INFO  org.reflections.Reflections - Reflections took 47 ms to scan 1 urls, producing 3 keys and 6 values 
2019-03-22 10:28:48.071 [main] INFO  com.secondhand.tradingplatformgeccoengine.GeccoEngine - close gecco!
2019-03-22 10:28:48.071 [GeccoEngine] INFO  com.secondhand.tradingplatformgeccoengine.downloader.proxy.FileProxys - proxys not load
2019-03-22 10:28:48.102 [GeccoEngine] INFO  org.reflections.Reflections - Reflections took 16 ms to scan 3 urls, producing 60 keys and 207 values 
2019-03-22 10:28:48.102 [GeccoEngine] INFO  com.secondhand.tradingplatformgeccoengine.GeccoEngine - starts.json not found
2019-03-22 10:28:48.133 [GeccoEngine] INFO  org.reflections.Reflections - Reflections took 15 ms to scan 1 urls, producing 3 keys and 6 values 
2019-03-22 10:30:22.384 [main] INFO  com.secondhand.tradingplatformgeccoengine.downloader.proxy.FileProxys - proxys not load
2019-03-22 10:30:23.243 [main] INFO  org.reflections.Reflections - Reflections took 687 ms to scan 3 urls, producing 60 keys and 207 values 
2019-03-22 10:30:25.571 [main] INFO  com.secondhand.tradingplatformgeccoengine.GeccoEngine - starts.json not found
2019-03-22 10:30:26.884 [main] INFO  org.reflections.Reflections - Reflections took 438 ms to scan 1 urls, producing 3 keys and 6 values 
2019-03-22 10:30:29.127 [main] INFO  com.secondhand.tradingplatformgeccoengine.GeccoEngine - close gecco!
2019-03-22 10:30:40.196 [GeccoEngine] INFO  com.secondhand.tradingplatformgeccoengine.downloader.proxy.FileProxys - proxys not load
2019-03-22 10:30:40.259 [GeccoEngine] INFO  org.reflections.Reflections - Reflections took 63 ms to scan 3 urls, producing 60 keys and 207 values 
2019-03-22 10:30:40.274 [GeccoEngine] INFO  com.secondhand.tradingplatformgeccoengine.GeccoEngine - starts.json not found
2019-03-22 10:30:40.306 [GeccoEngine] INFO  org.reflections.Reflections - Reflections took 16 ms to scan 1 urls, producing 3 keys and 6 values 
2019-03-22 10:30:59.065 [main] INFO  com.secondhand.tradingplatformgeccoengine.downloader.proxy.FileProxys - proxys not load
2019-03-22 10:30:59.553 [main] INFO  org.reflections.Reflections - Reflections took 425 ms to scan 3 urls, producing 60 keys and 207 values 
2019-03-22 10:31:00.428 [main] INFO  com.secondhand.tradingplatformgeccoengine.GeccoEngine - starts.json not found
2019-03-22 10:31:00.647 [main] INFO  org.reflections.Reflections - Reflections took 62 ms to scan 1 urls, producing 3 keys and 6 values 
2019-03-22 10:31:03.441 [main] INFO  com.secondhand.tradingplatformgeccoengine.GeccoEngine - close gecco!
2019-03-22 10:31:03.441 [GeccoEngine] INFO  com.secondhand.tradingplatformgeccoengine.downloader.proxy.FileProxys - proxys not load
2019-03-22 10:31:03.472 [GeccoEngine] INFO  org.reflections.Reflections - Reflections took 31 ms to scan 3 urls, producing 60 keys and 207 values 
2019-03-22 10:31:03.472 [GeccoEngine] INFO  com.secondhand.tradingplatformgeccoengine.GeccoEngine - starts.json not found
2019-03-22 10:31:03.488 [GeccoEngine] INFO  org.reflections.Reflections - Reflections took 16 ms to scan 1 urls, producing 3 keys and 6 values 
2019-03-22 10:44:35.751 [main] INFO  com.secondhand.tradingplatformgeccoengine.downloader.proxy.FileProxys - proxys not load
2019-03-22 10:44:36.314 [main] INFO  org.reflections.Reflections - Reflections took 500 ms to scan 3 urls, producing 60 keys and 207 values 
2019-03-22 10:44:37.283 [main] INFO  com.secondhand.tradingplatformgeccoengine.GeccoEngine - starts.json not found
2019-03-22 10:46:44.182 [main] INFO  org.reflections.Reflections - Reflections took 78 ms to scan 1 urls, producing 3 keys and 6 values 
2019-03-22 10:46:47.998 [main] INFO  com.secondhand.tradingplatformgeccoengine.GeccoEngine - close gecco!
2019-03-22 10:46:47.998 [GeccoEngine] INFO  com.secondhand.tradingplatformgeccoengine.downloader.proxy.FileProxys - proxys not load
